"Start.Date","Month","Year","Report.Type","Security.Type","Avg.Trade.Size","PCT.of.CUSIPs","PCT.of.Par.Traded","PCT.of.Trade.Count","period"
"2000-10-01","October",2000,"Customer Sold Only","Long Note",1236556.21073559,0.00512633801791306,0.00843286152821855,0.00410421273366678,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Sold Only","Long Variable",1624938.921875,0.00174761523337945,0.00422991257162081,0.00156661798183702,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Sold Only","Other",2762672.96317829,0.00394669773538193,0.0193273494952292,0.004210285826187,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Sold Only","Short Note",1994556.16071429,0.000611665331682808,0.00151435402837885,0.000456930244702465,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Sold Only","Short Variable",3250931.18979974,0.0495303284060293,0.636058886766498,0.117749292166094,"Pre-Crisis"
"2000-10-01","October",2000,"Interdealer Only","Bond",234674.375463765,0.979860063108794,0.969562495185301,0.986912272795554,"Pre-Crisis"
"2000-10-01","October",2000,"Interdealer Only","CP",NA,0,0,0,"Pre-Crisis"
"2000-10-01","October",2000,"Interdealer Only","Long Note",430580.052493438,0.0101522842639594,0.0128956110383557,0.00715412347904461,"Pre-Crisis"
"2000-10-01","October",2000,"Interdealer Only","Long Variable",342261.904761905,0.00137193030594046,0.00169497054583358,0.00118296529968454,"Pre-Crisis"
"2000-10-01","October",2000,"Interdealer Only","Other",142209.677419355,0.000960351214158321,0.000346540412814252,0.000582094036352711,"Pre-Crisis"
"2000-10-01","October",2000,"Interdealer Only","Short Note",572608.695652174,0.00128961448758403,0.00155288779746979,0.00064781433077963,"Pre-Crisis"
"2000-10-01","October",2000,"Interdealer Only","Short Variable",946306.666666667,0.00636575661956373,0.0139474950202257,0.00352073005858495,"Pre-Crisis"
"2000-10-01","October",2000,"Total Customer and Interdealer","Bond",168664.121452752,0.923799064384299,0.403343755825736,0.924821254329554,"Pre-Crisis"
"2000-10-01","October",2000,"Total Customer and Interdealer","CP",7718411.91543882,0.0100742367762442,0.0592582578561312,0.00296910871578915,"Pre-Crisis"
"2000-10-01","October",2000,"Total Customer and Interdealer","Long Note",722789.401852779,0.0111513564315659,0.0141983494427353,0.00759680987242913,"Pre-Crisis"
"2000-10-01","October",2000,"Total Customer and Interdealer","Long Variable",870484.169934641,0.00180575942215698,0.0045853065185102,0.00203710149558628,"Pre-Crisis"
"2000-10-01","October",2000,"Total Customer and Interdealer","Other",2441729.70174263,0.00532223829688374,0.0179177896322862,0.00283786688274018,"Pre-Crisis"
"2000-10-01","October",2000,"Total Customer and Interdealer","Short Note",1284392.61801802,0.00184799940864019,0.00350597494444284,0.00105564083104611,"Pre-Crisis"
"2000-10-01","October",2000,"Total Customer and Interdealer","Short Variable",3276585.70702061,0.0459993452802095,0.497190565780159,0.0586822178728552,"Pre-Crisis"
"2000-11-01","November",2000,"Customer Bought Only","Bond",138226.154239601,0.92390561278612,0.368918628883388,0.925439751510855,"Pre-Crisis"
"2000-11-01","November",2000,"Customer Bought Only","CP",7913764.89028213,0.00849814950142618,0.0737423375481695,0.00323103413349539,"Pre-Crisis"
